date,dex_sl_us
9/17/2020,185
9/18/2020,185.45
9/21/2020,185.47
9/22/2020,185.3
9/23/2020,184.8
9/24/2020,185.1
9/25/2020,185.2
9/28/2020,185.17
9/29/2020,185.1
9/30/2020,184.9
10/1/2020,184.8
10/2/2020,184.4
10/5/2020,184.65
10/6/2020,184.55
10/7/2020,184.4
10/8/2020,184.15
10/9/2020,184.2
10/13/2020,184.35
10/14/2020,184.65
10/15/2020,184.5
10/16/2020,184.2
10/19/2020,184.35
10/20/2020,184.5
10/21/2020,184.25
10/22/2020,184.35
10/23/2020,184.3
10/26/2020,184.3
10/27/2020,184.3
10/28/2020,184.3
10/29/2020,184.25
10/30/2020,184.16
11/2/2020,184.45
11/3/2020,184.3
11/4/2020,184.28
11/5/2020,184.45
11/6/2020,184.45
11/9/2020,184.45
11/10/2020,184.5
11/12/2020,184.55
11/13/2020,184.6
11/16/2020,185.01
11/17/2020,185.1
11/18/2020,184.65
11/19/2020,184.9
11/20/2020,185
11/23/2020,185.2
11/24/2020,185.54
11/25/2020,185.6
11/30/2020,185.54
12/1/2020,185.9
12/2/2020,185.89
12/3/2020,185.94
12/4/2020,185.5
12/7/2020,186.3
12/8/2020,186.1
12/9/2020,185.52
12/10/2020,185.8
12/11/2020,186.35
12/14/2020,186.67
12/15/2020,186.91
12/16/2020,186.9
12/17/2020,186.83
12/18/2020,187
12/21/2020,187.6
12/22/2020,189
12/23/2020,190
12/28/2020,187.5
12/29/2020,187.58
12/30/2020,185
12/31/2020,185
1/4/2021,184.97
1/5/2021,186.94
1/6/2021,187.62
1/7/2021,187.83
1/8/2021,186.57
1/11/2021,186.57
1/12/2021,189
1/13/2021,189
1/14/2021,189
1/15/2021,192.5
1/19/2021,193
1/21/2021,195.57
1/22/2021,196.42
1/25/2021,197.02
1/26/2021,195
1/27/2021,193.11
1/28/2021,193.11
1/29/2021,190.5
2/1/2021,193.5
2/2/2021,193.5
2/3/2021,194.86
2/4/2021,194.86
2/5/2021,194.01
2/8/2021,194.5
2/9/2021,195
2/10/2021,196.5
2/11/2021,193.5
2/12/2021,192.77
2/16/2021,195.25
2/17/2021,195.06
2/18/2021,195.12
2/19/2021,194.76
2/22/2021,194.13
2/23/2021,193.7
2/24/2021,193.4
2/25/2021,194.13
2/26/2021,193.05
3/1/2021,194.5
3/2/2021,194.58
3/3/2021,195.23
3/4/2021,195.18
3/5/2021,195.18
3/8/2021,195.21
3/9/2021,195.61
3/10/2021,196
3/11/2021,195.33
3/12/2021,196
3/15/2021,196.87
3/16/2021,198
3/17/2021,198.26
3/18/2021,197.28
3/19/2021,197.28
3/22/2021,197.5
3/23/2021,198.38
3/24/2021,198.22
3/25/2021,198.19
3/26/2021,198.55
3/29/2021,198.82
3/30/2021,199.02
3/31/2021,199.07
4/1/2021,198.73
4/2/2021,198.87
4/5/2021,199.57
4/6/2021,199.75
4/7/2021,199.75
4/8/2021,199.75
4/9/2021,199.75
4/12/2021,201.1
4/13/2021,201.1
4/14/2021,201.1
4/15/2021,200.71
4/16/2021,195.86
4/19/2021,189.05
4/20/2021,190.29
4/21/2021,191.61
4/22/2021,192
4/23/2021,193
4/26/2021,193.66
4/27/2021,194
4/28/2021,194
4/29/2021,196
4/30/2021,197
5/3/2021,197
5/4/2021,196.36
5/5/2021,196.33
5/6/2021,196
5/7/2021,197.5
5/10/2021,197.5
5/11/2021,195.87
5/12/2021,196.07
5/13/2021,196.73
5/14/2021,196.73
5/17/2021,196.73
5/18/2021,196.61
5/19/2021,196
5/20/2021,196
5/21/2021,196.77
5/24/2021,196.77
5/25/2021,197.92
5/26/2021,197.55
5/27/2021,197.55
5/28/2021,197.55
6/1/2021,197
6/2/2021,197.5
6/3/2021,197.05
6/4/2021,197.05
6/7/2021,197.11
6/8/2021,197.55
6/9/2021,197.69
6/10/2021,198
6/11/2021,197.6
6/14/2021,197.53
6/15/2021,197.53
6/16/2021,197.69
6/17/2021,197.92
6/18/2021,197.69
6/21/2021,198
6/22/2021,198.14
6/23/2021,197.99
6/24/2021,198.52
6/25/2021,198.5
6/28/2021,199
6/29/2021,199
6/30/2021,198.85
7/1/2021,199
7/2/2021,199
7/6/2021,198.5
7/7/2021,198.5
7/8/2021,198.5
7/9/2021,198.7
7/12/2021,198.52
7/13/2021,199
7/14/2021,198.5
7/15/2021,198.5
7/16/2021,199
7/19/2021,199.5
7/20/2021,199.05
7/21/2021,199.05
7/22/2021,199
7/23/2021,199
7/26/2021,199.47
7/27/2021,198.5
7/28/2021,199.19
7/29/2021,199
7/30/2021,199
8/2/2021,199
8/3/2021,199
8/4/2021,199
8/5/2021,199
8/6/2021,199
8/9/2021,199
8/10/2021,199
8/11/2021,198.84
8/12/2021,199
8/13/2021,199.5
8/16/2021,198.94
8/17/2021,199
8/18/2021,199
8/19/2021,199.1
8/20/2021,199
8/23/2021,199.5
8/24/2021,199
8/25/2021,199.25
8/26/2021,199
8/27/2021,200
